DateTime,AddedIPs,RemovedIPs
1508391941,0,2
1508393679,1,1
1508395359,3,0
1508397042,0,1
1508399136,0,1
1508400642,0,5
1508401595,2,1
1508402447,0,4
1508404073,1,1
1508405956,2,4
1508406149,1,0
1508408908,1,0
1508409937,0,2
1508411440,0,2
1508413241,1,1
1508414802,0,1
1508415639,2,0
1508416786,1,2
1508417790,1,0
1508418649,0,2
1508419568,1,0
1508420445,2,1
1508422262,0,1
1508424214,0,1
1508426070,8,2
1508427751,4,0
1508429676,1,1
1508430644,3,1
1508432674,3,1
1508434528,0,2
1508438552,1,5
1508439696,2,1
1508441445,1,2
1508443837,2,0
1508446538,1,1
1508447438,2,0
1508449358,3,4
1508451268,2,1
1508452114,1,0
1508453146,3,0
1508456561,1,2
1508458466,1,1
1508460041,1,5
1508460931,1,0
1508461770,1,0
1508463045,0,1
1508465438,1,2
1508466512,2,0
1508467533,1,0
1508468675,1,1
1508469640,1,1
1508470111,1,0
1508471140,0,1
1508472634,1,1
1508473701,2,0
1508474734,3,2
1508475723,2,1
1508476468,1,0
1508477730,3,2
1508479843,10,3
1508480069,1,0
1508481417,3,3
1508482599,0,1
1508483439,1,1
1508485531,2,2
1508488108,1,0
1508489149,0,2
1508491234,1,0
1508492433,1,1
1508494218,2,2
1508495299,1,0
1508496155,1,2
1508497302,0,2
1508498137,1,0
1508499034,1,2
1508499932,0,1
1508500963,0,1
1508502644,1,0
1508503536,2,1
1508504469,1,0
1508506239,1,2
1508508590,1,0
1508509780,2,0
1508511785,1,1
1508512838,2,0
1508514110,0,1
1508516074,2,1
1508517334,0,1
1508520477,2,0
1508521316,0,1
1508522398,1,2
1508525233,2,1
1508526111,0,1
1508527847,1,2
1508528562,2,4
1508530239,2,2
1508531197,1,0
1508532161,0,4
1508533840,0,1
1508534840,1,1
1508537437,0,1
1508538508,2,0
1508539358,2,3
1508540386,1,0
1508542242,1,4
1508543137,2,1
1508544646,2,1
1508545847,0,2
1508546736,1,1
1508548473,1,0
1508551214,1,1
1508552140,1,0
1508554586,1,0
1508556636,5,0
1508558275,2,1
1508559282,2,0
1508561138,1,3
1508564395,1,1
1508566239,1,1
1508571017,0,1
1508571946,2,0
1508575536,1,0
1508576641,3,0
1508578741,0,1
1508580639,1,0
1508581527,1,0
1508584237,6,0
1508585131,1,1
1508586882,1,0
1508587839,0,1
1508589034,0,1
1508590382,1,1
1508591438,1,0
1508593538,3,0
1508596235,0,2
1508597141,0,24
1508598874,0,1
1508599840,0,4
1508601692,1,3
1508602478,1,0
1508603307,2,0
1508604338,1,0
1508605837,1,0
1508607920,1,0
1508609667,6,1
1508610509,2,0
1508614837,1,0
1508615734,2,0
1508616641,1,0
1508617588,1,0
1508618444,0,3
1508619340,2,0
1508620238,1,2
1508624908,1,0
1508625750,1,0
1508626596,1,0
1508627440,1,0
1508629530,2,0
1508631039,0,1
1508632112,2,1
1508634648,0,1
1508636550,2,1
1508641842,1,1
1508642908,1,0
1508643945,1,0
1508644851,1,0
1508647355,3,1
1508648845,1,0
1508651062,5,43
1508651860,1,0
1508652938,1,1
1508653711,1,0
1508654735,1,1
1508655906,2,1
1508660910,1,0
1508661763,2,1
1508662857,2,0
1508663748,1,0
1508664941,1,1
1508666699,4,2
1508668849,3,1
1508671834,2,1
1508672981,2,1
1508674247,2,1
1508675166,1,0
1508676897,1,0
1508677841,1,1
1508679633,0,1
1508682521,2,0
1508683543,1,1
1508684372,1,1
1508686238,1,1
1508686955,1,0
1508688642,2,0
1508690448,1,0
1508691714,1,0
1508692544,1,0
1508693438,1,0
1508694342,0,1
1508697948,1,0
1508700511,1,0
1508701538,1,1
1508703033,1,15
1508708585,0,2
1508711441,1,0
1508712864,1,0
1508713777,0,1
1508714692,2,0
1508717446,0,1
1508721049,1,1
1508721942,5,0
1508722962,0,1
1508725605,1,0
1508726735,0,4
1508728462,1,0
1508729502,1,1
1508731840,1,0
1508733937,2,1
1508734589,1,0
1508735448,0,1
1508736643,2,0
1508737455,2,0
1508739037,5,15
1508740238,2,1
1508741101,2,4
1508742158,3,0
1508744017,1,0
1508746472,5,6
1508747437,2,0
1508748992,2,0
1508749843,0,1
1508750909,1,0
1508751939,0,1
1508753439,1,4
1508755373,1,1
1508757039,0,1
1508758849,2,1
1508760570,0,1
1508762134,0,1
1508763345,1,2
1508764239,2,0
1508765128,1,0
1508769040,1,0
1508769934,1,0
1508771433,1,2
1508772593,1,4
1508773349,0,1
1508776107,2,1
1508777010,1,1
1508777881,1,0
1508778935,1,4
1508779856,0,4
1508782468,1,0
1508783436,0,1
1508786069,1,2
1508787644,2,2
1508789445,0,2
1508789669,1,0
1508790639,3,1
1508792202,3,0
1508793032,1,0
1508794108,1,0
1508795131,0,2
1508796284,1,2
1508797244,2,0
1508798267,0,1
1508798550,0,1
1508799875,2,0
1508802041,2,2
1508804444,2,0
1508805650,1,2
1508810195,3,0
1508811044,0,1
1508812099,1,0
1508813143,1,1
1508814207,0,1
1508815248,1,0
1508816134,2,1
1508816560,0,1
1508817714,0,1
1508819442,1,4
1508820166,0,1
1508821841,0,1
1508823036,1,3
1508823839,0,1
1508824859,0,2
1508829277,1,0
1508830210,1,1
1508831736,0,1
1508832636,0,3
1508833850,0,2
1508834554,1,1
1508835704,0,1
1508836541,0,1
1508838332,0,4
1508840080,2,0
1508841043,2,1
1508841942,3,0
1508843277,1,2
1508845242,1,2
1508846133,1,0
1508847047,0,2
1508848952,1,0
1508850273,2,0
1508852445,1,3
1508853663,2,1
1508854535,1,0
1508856338,2,2
1508857841,2,2
1508860533,0,1
1508861442,1,0
1508862648,1,2
1508863355,1,0
1508865039,1,0
1508867136,2,1
1508868640,1,0
1508872538,0,1
1508873438,0,7
1508874333,1,0
1508876058,3,0
1508876909,1,0
1508880640,1,1
1508882340,0,1
1508883343,1,0
1508884245,1,1
1508886943,3,0
1508887841,2,0
1508889387,2,0
1508891441,0,5
1508892153,0,1
1508895939,0,1
1508897367,2,1
1508899241,0,3
1508902233,1,0
1508903128,1,0
1508904643,2,4
1508906741,0,4
1508907645,0,2
1508908547,2,0
1508910999,2,3
1508911853,1,4
1508913755,4,2
1508915671,8,2
1508916654,0,5
1508917366,2,0
1508919048,2,2
1508920115,3,0
1508920977,0,1
1508922002,1,1
1508922939,2,0
1508923831,1,0
1508925398,1,0
1508926248,1,3
1508928335,2,1
1508929846,1,0
1508932588,1,0
1508933668,1,2
1508935352,1,3
1508937040,1,0
1508938969,1,1
1508941708,1,0
1508942736,0,1
1508943406,0,1
1508944244,1,0
1508946343,1,2
1508947841,1,0
1508949940,0,1
1508950856,0,1
1508955268,2,1
1508956241,0,3
